"sample_id","measurement_replicate","chl_a_per_cm2","chl_c2_per_cm2","chl_tot_per_cm2","t","site","depth","spec","size","replicate"
"4TSAL060P","m1",5.71256970928852,0.5737489078875,6.28631861717602,"4","Temae","5 m","A. hya","Adult",60
"4TSAL060P","m2",5.72031908745131,0.571287819284618,6.29160690673593,"4","Temae","5 m","A. hya","Adult",60
"4TSAS071P","m1",5.10348253372177,0.628829557995157,5.73231209171692,"4","Temae","5 m","A. hya","Juvenile",71
"4TSAS071P","m2",5.10729182466252,0.637111853219454,5.74440367788198,"4","Temae","5 m","A. hya","Juvenile",71
"4TSAS103P","m1",3.70822131795251,0.286305678664294,3.9945269966168,"4","Temae","5 m","A. hya","Juvenile",103
"4TSAS103P","m2",3.70377586748503,0.287717488392812,3.99149335587784,"4","Temae","5 m","A. hya","Juvenile",103
"4TSAS018P","m1",1.61547299556801,0.234655741456357,1.85012873702437,"4","Temae","5 m","A. hya","Juvenile",18
"4TSAS018P","m2",1.61885450914624,0.233581822445947,1.85243633159219,"4","Temae","5 m","A. hya","Juvenile",18
"4TSAL079P","m1",3.5134193051303,0.424344727217508,3.93776403234781,"4","Temae","5 m","A. hya","Adult",79
"4TSAL079P","m2",3.51743283902874,0.433071094711238,3.95050393373998,"4","Temae","5 m","A. hya","Adult",79
"4TSAS104P","m1",3.13173098515513,0.367073860796213,3.49880484595134,"4","Temae","5 m","A. hya","Juvenile",104
"4TSAS104P","m2",3.13200566715135,0.355447086924839,3.48745275407619,"4","Temae","5 m","A. hya","Juvenile",104
"4TSAS110P","m1",2.04627166676089,0.212138314719318,2.2584099814802,"4","Temae","5 m","A. hya","Juvenile",110
"4TSAS110P","m2",2.04627166676089,0.212138314719318,2.2584099814802,"4","Temae","5 m","A. hya","Juvenile",110
"4ESAS086P","m1",3.7264996302951,0.637584109049178,4.36408373934428,"4","E2B","5 m","A. hya","Juvenile",86
"4ESAS086P","m2",3.71527984619516,0.641147347569106,4.35642719376427,"4","E2B","5 m","A. hya","Juvenile",86
"4TSAS100P","m1",2.45956431065818,0.300182175818884,2.75974648647706,"4","Temae","5 m","A. hya","Juvenile",100
"4TSAS100P","m2",2.4547957261182,0.289814150489156,2.74460987660736,"4","Temae","5 m","A. hya","Juvenile",100
"4ESAS097P","m1",2.35457882336011,0.301738963935239,2.65631778729534,"4","E2B","5 m","A. hya","Juvenile",97
"4ESAS097P","m2",2.35457882336011,0.301738963935239,2.65631778729534,"4","E2B","5 m","A. hya","Juvenile",97
"4TSAS112P","m1",2.81957078356375,0.385960986078082,3.20553176964183,"4","Temae","5 m","A. hya","Juvenile",112
"4TSAS112P","m2",2.82001284489574,0.367249358759897,3.18726220365564,"4","Temae","5 m","A. hya","Juvenile",112
"4TSAS098P","m1",2.11432930963154,0.300911652201412,2.41524096183295,"4","Temae","5 m","A. hya","Juvenile",98
"4TSAS098P","m2",2.10481142282225,0.280217525737468,2.38502894855972,"4","Temae","5 m","A. hya","Juvenile",98
"4ESAS088P","m1",4.56872577010448,0.480035402535683,5.04876117264016,"4","E2B","5 m","A. hya","Juvenile",88
"4ESAS088P","m2",4.56545525960117,0.481074068601039,5.04652932820221,"4","E2B","5 m","A. hya","Juvenile",88
"4TSAL091P","m1",4.5456203044547,0.586081818551395,5.1317021230061,"4","Temae","5 m","A. hya","Adult",91
"4TSAL091P","m2",4.55648609794687,0.629614891481113,5.18610098942798,"4","Temae","5 m","A. hya","Adult",91
"4TSAS101P","m1",3.29086611310117,0.318638559382555,3.60950467248373,"4","Temae","5 m","A. hya","Juvenile",101
"4TSAS101P","m2",3.28136183665612,0.321656977886101,3.60301881454222,"4","Temae","5 m","A. hya","Juvenile",101
"4ESAS094P","m1",2.04407781386324,0.238062267716125,2.28214008157936,"4","E2B","5 m","A. hya","Juvenile",94
"4ESAS094P","m2",2.04442403117261,0.223407538167576,2.26783156934019,"4","E2B","5 m","A. hya","Juvenile",94
"4ESAL085P","m1",3.54532450900168,0.376894911749099,3.92221942075078,"4","E2B","5 m","A. hya","Adult",85
"4ESAL085P","m2",3.53972028774045,0.378674730049908,3.91839501779036,"4","E2B","5 m","A. hya","Adult",85
"4ESAS091P","m1",3.30833546976112,0.301303833099211,3.60963930286033,"4","E2B","5 m","A. hya","Juvenile",91
"4ESAS091P","m2",3.30504717793855,0.294154312602683,3.59920149054123,"4","E2B","5 m","A. hya","Juvenile",91
"4TSAL094P","m1",2.93280247780127,0.3000989806949,3.23290145849617,"4","Temae","5 m","A. hya","Adult",94
"4TSAL094P","m2",2.92610669181195,0.294123398509115,3.22023009032107,"4","Temae","5 m","A. hya","Adult",94
"4TSAS109P","m1",5.2040484638881,0.56290627140708,5.76695473529518,"4","Temae","5 m","A. hya","Juvenile",109
"4TSAS109P","m2",5.19660258788671,0.565270972184425,5.76187356007114,"4","Temae","5 m","A. hya","Juvenile",109
"4TSAL093P","m1",4.07077485161355,0.379573440113409,4.45034829172696,"4","Temae","5 m","A. hya","Adult",93
"4TSAL093P","m2",4.06015010427558,0.374458405733761,4.43460851000934,"4","Temae","5 m","A. hya","Adult",93
"4ESAS090P","m1",1.8309887880588,0.205767814020433,2.03675660207923,"4","E2B","5 m","A. hya","Juvenile",90
"4ESAS090P","m2",1.82739009459349,0.206910706170833,2.03430080076432,"4","E2B","5 m","A. hya","Juvenile",90
"4TSAL095P","m1",4.17870440196525,0.433861466529856,4.61256586849511,"4","Temae","5 m","A. hya","Adult",95
"4TSAL095P","m2",4.17870440196525,0.433861466529856,4.61256586849511,"4","Temae","5 m","A. hya","Adult",95
"4TSAL098P","m1",2.43226548707142,0.330202112709784,2.7624675997812,"4","Temae","5 m","A. hya","Adult",98
"4TSAL098P","m2",2.43189839508164,0.345740428339526,2.77763882342117,"4","Temae","5 m","A. hya","Adult",98
"4TSAL097P","m1",2.12286752827751,0.247030116100714,2.36989764437822,"4","Temae","5 m","A. hya","Adult",97
"4TSAL097P","m2",2.13750777315161,0.242380589513401,2.37988836266501,"4","Temae","5 m","A. hya","Adult",97
"4TSAL085P","m1",2.1306969033429,0.202822412289026,2.33351931563192,"4","Temae","5 m","A. hya","Adult",85
"4TSAL085P","m2",2.12716963754583,0.203942620061847,2.33111225760768,"4","Temae","5 m","A. hya","Adult",85
