"sample_id","measurement_replicate","chl_a_per_cm2","chl_c2_per_cm2","chl_tot_per_cm2","t","site","depth","spec","size","replicate"
"3TSAL056P","m1",0.517814512925945,0.128946616919987,0.646761129845932,"3","Temae","5 m","A. hya","Adult",56
"3TSAL056P","m2",0.515461156868917,0.129694008213689,0.645155165082606,"3","Temae","5 m","A. hya","Adult",56
"3TSAL082P","m1",1.55292648440543,0.23484855819556,1.78777504260099,"3","Temae","5 m","A. hya","Adult",82
"3TSAL082P","m2",1.55292648440543,0.23484855819556,1.78777504260099,"3","Temae","5 m","A. hya","Adult",82
"3TSAL053P","m1",1.02564607019081,0.178963666012004,1.20460973620281,"3","Temae","5 m","A. hya","Adult",53
"3TSAL053P","m2",1.02196352169209,0.170956938692284,1.19292046038438,"3","Temae","5 m","A. hya","Adult",53
"3TSAL081P","m1",1.03140008194021,0.184757879029402,1.21615796096961,"3","Temae","5 m","A. hya","Adult",81
"3TSAL081P","m2",1.03140008194021,0.184757879029402,1.21615796096961,"3","Temae","5 m","A. hya","Adult",81
"3TSAL083P","m1",0.910607766035343,0.108565954397469,1.01917372043281,"3","Temae","5 m","A. hya","Adult",83
"3TSAL083P","m2",0.905634382769089,0.110145427823234,1.01577981059232,"3","Temae","5 m","A. hya","Adult",83
"3TSAL084P","m1",0.798140430181387,0.168993017552925,0.967133447734312,"3","Temae","5 m","A. hya","Adult",84
"3TSAL084P","m2",0.798140430181387,0.168993017552925,0.967133447734312,"3","Temae","5 m","A. hya","Adult",84
"3ESAL009P","m1",0.784783579216823,0.211046899449958,0.995830478666782,"3","E2B","5 m","A. hya","Adult",9
"3ESAL009P","m2",0.780435273533802,0.212427857422782,0.992863130956583,"3","E2B","5 m","A. hya","Adult",9
"3ESAL091P","m1",0.0219872668859841,0.00613087721288422,0.0281181440988684,"3","E2B","5 m","A. hya","Adult",91
"3ESAL091P","m2",0.0219872668859841,0.00613087721288422,0.0281181440988684,"3","E2B","5 m","A. hya","Adult",91
