"sample_id","count_replicate","count_per_cm2","t","site","depth","spec","size","replicate"
"4TSAL060P","c1",6983254.1624466,"4","Temae","5 m","A. hya","Adult",60
"4TSAL060P","c2",5695081.06451955,"4","Temae","5 m","A. hya","Adult",60
"4TSAL060P","c3",7254448.49885229,"4","Temae","5 m","A. hya","Adult",60
"4TSAL060P","c4",4745900.88709963,"4","Temae","5 m","A. hya","Adult",60
"4TSAL060P","c5",4339109.38249109,"4","Temae","5 m","A. hya","Adult",60
"4TSAL060P","c6",6373066.90553379,"4","Temae","5 m","A. hya","Adult",60
"4TSAS071P","c1",8190505.08114668,"4","Temae","5 m","A. hya","Juvenile",71
"4TSAS071P","c2",8543544.09326507,"4","Temae","5 m","A. hya","Juvenile",71
"4TSAS071P","c3",7131388.0447915,"4","Temae","5 m","A. hya","Juvenile",71
"4TSAS071P","c4",7555034.85933357,"4","Temae","5 m","A. hya","Juvenile",71
"4TSAS071P","c5",8190505.08114668,"4","Temae","5 m","A. hya","Juvenile",71
"4TSAS071P","c6",10520562.5611281,"4","Temae","5 m","A. hya","Juvenile",71
"4TSAS103P","c1",11667848.9960182,"4","Temae","5 m","A. hya","Juvenile",103
"4TSAS103P","c2",15401560.674744,"4","Temae","5 m","A. hya","Juvenile",103
"4TSAS103P","c3",8478636.93710653,"4","Temae","5 m","A. hya","Juvenile",103
"4TSAS103P","c4",17812916.1339211,"4","Temae","5 m","A. hya","Juvenile",103
"4TSAS103P","c5",6456209.77779672,"4","Temae","5 m","A. hya","Juvenile",103
"4TSAS103P","c6",9956564.47660217,"4","Temae","5 m","A. hya","Juvenile",103
"4TSAS018P","c1",4970203.68454025,"4","Temae","5 m","A. hya","Juvenile",18
"4TSAS018P","c2",4141836.40378354,"4","Temae","5 m","A. hya","Juvenile",18
"4TSAS018P","c3",2958454.5741311,"4","Temae","5 m","A. hya","Juvenile",18
"4TSAS018P","c4",5088541.86750549,"4","Temae","5 m","A. hya","Juvenile",18
"4TSAS018P","c5",4496850.95267927,"4","Temae","5 m","A. hya","Juvenile",18
"4TSAS018P","c6",1893410.9274439,"4","Temae","5 m","A. hya","Juvenile",18
"4TSAL079P","c1",4761189.42539432,"4","Temae","5 m","A. hya","Adult",79
"4TSAL079P","c2",5505125.27311219,"4","Temae","5 m","A. hya","Adult",79
"4TSAL079P","c3",5951486.78174291,"4","Temae","5 m","A. hya","Adult",79
"4TSAL079P","c4",5207550.93402504,"4","Temae","5 m","A. hya","Adult",79
"4TSAL079P","c5",9819953.1898758,"4","Temae","5 m","A. hya","Adult",79
"4TSAL079P","c6",6397848.29037362,"4","Temae","5 m","A. hya","Adult",79
"4TSAS104P","c1",4463582.43862244,"4","Temae","5 m","A. hya","Juvenile",104
"4TSAS104P","c2",4463582.43862244,"4","Temae","5 m","A. hya","Juvenile",104
"4TSAS104P","c3",12704042.32531,"4","Temae","5 m","A. hya","Juvenile",104
"4TSAS104P","c4",8927164.87724487,"4","Temae","5 m","A. hya","Juvenile",104
"4TSAS104P","c5",6008668.66737636,"4","Temae","5 m","A. hya","Juvenile",104
"4TSAS104P","c6",6008668.66737636,"4","Temae","5 m","A. hya","Juvenile",104
"4TSAS110P","c1",5984637.90366029,"4","Temae","5 m","A. hya","Juvenile",110
"4TSAS110P","c2",2222865.50707382,"4","Temae","5 m","A. hya","Juvenile",110
"4TSAS110P","c3",6155627.55805058,"4","Temae","5 m","A. hya","Juvenile",110
"4TSAS110P","c4",5642658.5948797,"4","Temae","5 m","A. hya","Juvenile",110
"4TSAS110P","c5",2222865.50707382,"4","Temae","5 m","A. hya","Juvenile",110
"4TSAS110P","c6",3419793.08780588,"4","Temae","5 m","A. hya","Juvenile",110
"4ESAS086P","c1",6282293.80923859,"4","E2B","5 m","A. hya","Juvenile",86
"4ESAS086P","c2",9423440.71385788,"4","E2B","5 m","A. hya","Juvenile",86
"4ESAS086P","c3",10208727.4400127,"4","E2B","5 m","A. hya","Juvenile",86
"4ESAS086P","c4",9816084.0769353,"4","E2B","5 m","A. hya","Juvenile",86
"4ESAS086P","c5",6282293.80923859,"4","E2B","5 m","A. hya","Juvenile",86
"4ESAS086P","c6",5104363.72000635,"4","E2B","5 m","A. hya","Juvenile",86
"4TSAS100P","c1",5833671.54102333,"4","Temae","5 m","A. hya","Juvenile",100
"4TSAS100P","c2",6894339.09393666,"4","Temae","5 m","A. hya","Juvenile",100
"4TSAS100P","c3",6187227.39199444,"4","Temae","5 m","A. hya","Juvenile",100
"4TSAS100P","c4",4419448.13713888,"4","Temae","5 m","A. hya","Juvenile",100
"4TSAS100P","c5",8662118.34879221,"4","Temae","5 m","A. hya","Juvenile",100
"4TSAS100P","c6",4949781.91359555,"4","Temae","5 m","A. hya","Juvenile",100
"4ESAS097P","c1",6574281.23233312,"4","E2B","5 m","A. hya","Juvenile",97
"4ESAS097P","c2",8765708.30977749,"4","E2B","5 m","A. hya","Juvenile",97
"4ESAS097P","c3",3287140.61616656,"4","E2B","5 m","A. hya","Juvenile",97
"4ESAS097P","c4",11504992.156583,"4","E2B","5 m","A. hya","Juvenile",97
"4ESAS097P","c5",7943923.15573585,"4","E2B","5 m","A. hya","Juvenile",97
"4ESAS097P","c6",6574281.23233312,"4","E2B","5 m","A. hya","Juvenile",97
"4TSAS112P","c1",6354631.64737168,"4","Temae","5 m","A. hya","Juvenile",112
"4TSAS112P","c2",24313373.259509,"4","Temae","5 m","A. hya","Juvenile",112
"4TSAS112P","c3",3591748.32242747,"4","Temae","5 m","A. hya","Juvenile",112
"4TSAS112P","c4",2762883.32494421,"4","Temae","5 m","A. hya","Juvenile",112
"4TSAS112P","c5",8841226.63982147,"4","Temae","5 m","A. hya","Juvenile",112
"4TSAS112P","c6",4973189.98489958,"4","Temae","5 m","A. hya","Juvenile",112
"4TSAS098P","c1",5998297.52578078,"4","Temae","5 m","A. hya","Juvenile",98
"4TSAS098P","c2",5292615.46392422,"4","Temae","5 m","A. hya","Juvenile",98
"4TSAS098P","c3",7762502.68042219,"4","Temae","5 m","A. hya","Juvenile",98
"4TSAS098P","c4",7762502.68042219,"4","Temae","5 m","A. hya","Juvenile",98
"4TSAS098P","c5",4586933.40206766,"4","Temae","5 m","A. hya","Juvenile",98
"4TSAS098P","c6",7762502.68042219,"4","Temae","5 m","A. hya","Juvenile",98
"4ESAS088P","c1",5264863.80235362,"4","E2B","5 m","A. hya","Juvenile",88
"4ESAS088P","c2",6066038.72879873,"4","E2B","5 m","A. hya","Juvenile",88
"4ESAS088P","c3",4234781.75406704,"4","E2B","5 m","A. hya","Juvenile",88
"4ESAS088P","c4",5837131.60695727,"4","E2B","5 m","A. hya","Juvenile",88
"4ESAS088P","c5",6294945.8506402,"4","E2B","5 m","A. hya","Juvenile",88
"4ESAS088P","c6",5264863.80235362,"4","E2B","5 m","A. hya","Juvenile",88
"4TSAL091P","c1",6430704.4147946,"4","Temae","5 m","A. hya","Adult",91
"4TSAL091P","c2",6290906.49273385,"4","Temae","5 m","A. hya","Adult",91
"4TSAL091P","c3",7129694.02509836,"4","Temae","5 m","A. hya","Adult",91
"4TSAL091P","c4",7129694.02509836,"4","Temae","5 m","A. hya","Adult",91
"4TSAL091P","c5",5312321.03830859,"4","Temae","5 m","A. hya","Adult",91
"4TSAL091P","c6",10904237.9207387,"4","Temae","5 m","A. hya","Adult",91
"4TSAS101P","c1",2106517.96390694,"4","Temae","5 m","A. hya","Juvenile",101
"4TSAS101P","c2",4545644.02737813,"4","Temae","5 m","A. hya","Juvenile",101
"4TSAS101P","c3",4213035.92781388,"4","Temae","5 m","A. hya","Juvenile",101
"4TSAS101P","c4",1441301.76477843,"4","Temae","5 m","A. hya","Juvenile",101
"4TSAS101P","c5",7317378.19041358,"4","Temae","5 m","A. hya","Juvenile",101
"4TSAS101P","c6",3326080.99564254,"4","Temae","5 m","A. hya","Juvenile",101
"4ESAS094P","c1",3894944.73051127,"4","E2B","5 m","A. hya","Juvenile",94
"4ESAS094P","c2",6058802.91412865,"4","E2B","5 m","A. hya","Juvenile",94
"4ESAS094P","c3",5842417.09576691,"4","E2B","5 m","A. hya","Juvenile",94
"4ESAS094P","c4",4976873.82231996,"4","E2B","5 m","A. hya","Juvenile",94
"4ESAS094P","c5",7789889.46102255,"4","E2B","5 m","A. hya","Juvenile",94
"4ESAS094P","c6",5409645.45904344,"4","E2B","5 m","A. hya","Juvenile",94
"4ESAL085P","c1",2549601.97361136,"4","E2B","5 m","A. hya","Adult",85
"4ESAL085P","c2",4706957.48974404,"4","E2B","5 m","A. hya","Adult",85
"4ESAL085P","c3",4706957.48974404,"4","E2B","5 m","A. hya","Adult",85
"4ESAL085P","c4",3922464.5747867,"4","E2B","5 m","A. hya","Adult",85
"4ESAL085P","c5",7452682.69209473,"4","E2B","5 m","A. hya","Adult",85
"4ESAL085P","c6",4314711.03226537,"4","E2B","5 m","A. hya","Adult",85
"4ESAS091P","c1",6826481.6335137,"4","E2B","5 m","A. hya","Juvenile",91
"4ESAS091P","c2",8655003.49963344,"4","E2B","5 m","A. hya","Juvenile",91
"4ESAS091P","c3",8167397.66866818,"4","E2B","5 m","A. hya","Juvenile",91
"4ESAS091P","c4",5607467.05610054,"4","E2B","5 m","A. hya","Juvenile",91
"4ESAS091P","c5",7679791.83770291,"4","E2B","5 m","A. hya","Juvenile",91
"4ESAS091P","c6",6704580.17577238,"4","E2B","5 m","A. hya","Juvenile",91
"4TSAL094P","c1",5303592.86282508,"4","Temae","5 m","A. hya","Adult",94
"4TSAL094P","c2",7473244.48852625,"4","Temae","5 m","A. hya","Adult",94
"4TSAL094P","c3",5906273.86996429,"4","Temae","5 m","A. hya","Adult",94
"4TSAL094P","c4",6388418.67567566,"4","Temae","5 m","A. hya","Adult",94
"4TSAL094P","c5",4098230.84854665,"4","Temae","5 m","A. hya","Adult",94
"4TSAL094P","c6",4339303.25140234,"4","Temae","5 m","A. hya","Adult",94
"4TSAS109P","c1",8989771.55023719,"4","Temae","5 m","A. hya","Juvenile",109
"4TSAS109P","c2",9641204.27126887,"4","Temae","5 m","A. hya","Juvenile",109
"4TSAS109P","c3",7296046.47555482,"4","Temae","5 m","A. hya","Juvenile",109
"4TSAS109P","c4",10162350.4480942,"4","Temae","5 m","A. hya","Juvenile",109
"4TSAS109P","c5",11595502.4343639,"4","Temae","5 m","A. hya","Juvenile",109
"4TSAS109P","c6",9901777.35968154,"4","Temae","5 m","A. hya","Juvenile",109
"4TSAL093P","c1",7830423.00094209,"4","Temae","5 m","A. hya","Adult",93
"4TSAL093P","c2",5557074.38776536,"4","Temae","5 m","A. hya","Adult",93
"4TSAL093P","c3",8083017.29129506,"4","Temae","5 m","A. hya","Adult",93
"4TSAL093P","c4",4041508.64564753,"4","Temae","5 m","A. hya","Adult",93
"4TSAL093P","c5",7577828.71058912,"4","Temae","5 m","A. hya","Adult",93
"4TSAL093P","c6",4799291.51670644,"4","Temae","5 m","A. hya","Adult",93
"4ESAS090P","c1",6422864.9774567,"4","E2B","5 m","A. hya","Juvenile",90
"4ESAS090P","c2",4030032.92703165,"4","E2B","5 m","A. hya","Juvenile",90
"4ESAS090P","c3",5163479.68775931,"4","E2B","5 m","A. hya","Juvenile",90
"4ESAS090P","c4",4533787.04291061,"4","E2B","5 m","A. hya","Juvenile",90
"4ESAS090P","c5",3652217.34012244,"4","E2B","5 m","A. hya","Juvenile",90
"4ESAS090P","c6",4785664.10085009,"4","E2B","5 m","A. hya","Juvenile",90
"4TSAL095P","c1",4516920.08568082,"4","Temae","5 m","A. hya","Adult",95
"4TSAL095P","c2",4968612.0942489,"4","Temae","5 m","A. hya","Adult",95
"4TSAL095P","c3",2710152.05140849,"4","Temae","5 m","A. hya","Adult",95
"4TSAL095P","c4",4968612.0942489,"4","Temae","5 m","A. hya","Adult",95
"4TSAL095P","c5",5420304.10281698,"4","Temae","5 m","A. hya","Adult",95
"4TSAL095P","c6",5194458.09853294,"4","Temae","5 m","A. hya","Adult",95
"4TSAL098P","c1",1720743.70207553,"4","Temae","5 m","A. hya","Adult",98
"4TSAL098P","c2",4588649.87220141,"4","Temae","5 m","A. hya","Adult",98
