"sample_id","count_replicate","count_per_cm2","t","site","depth","spec","size","replicate"
"3TSAL056P","c1",1801563.03578254,"3","Temae","5 m","A. hya","Adult",56
"3TSAL056P","c2",2213348.87253284,"3","Temae","5 m","A. hya","Adult",56
"3TSAL056P","c3",1698616.57659497,"3","Temae","5 m","A. hya","Adult",56
"3TSAL056P","c4",1904509.49497012,"3","Temae","5 m","A. hya","Adult",56
"3TSAL056P","c5",1801563.03578254,"3","Temae","5 m","A. hya","Adult",56
"3TSAL056P","c6",1389777.19903225,"3","Temae","5 m","A. hya","Adult",56
"3TSAL082P","c1",8760479.98423506,"3","Temae","5 m","A. hya","Adult",82
"3TSAL082P","c2",9025949.07466643,"3","Temae","5 m","A. hya","Adult",82
"3TSAL082P","c3",8229541.80337233,"3","Temae","5 m","A. hya","Adult",82
"3TSAL082P","c4",8362276.34858801,"3","Temae","5 m","A. hya","Adult",82
"3TSAL082P","c5",6238523.62513709,"3","Temae","5 m","A. hya","Adult",82
"3TSAL082P","c6",10884232.707686,"3","Temae","5 m","A. hya","Adult",82
"3TSAL053P","c1",3412927.24625748,"3","Temae","5 m","A. hya","Adult",53
"3TSAL053P","c2",4180835.87666541,"3","Temae","5 m","A. hya","Adult",53
"3TSAL053P","c3",4010189.51435254,"3","Temae","5 m","A. hya","Adult",53
"3TSAL053P","c4",4095512.69550898,"3","Temae","5 m","A. hya","Adult",53
"3TSAL053P","c5",3754219.97088323,"3","Temae","5 m","A. hya","Adult",53
"3TSAL053P","c6",3839543.15203967,"3","Temae","5 m","A. hya","Adult",53
"3TSAL081P","c1",2679548.97393422,"3","Temae","5 m","A. hya","Adult",81
"3TSAL081P","c2",3076519.19229484,"3","Temae","5 m","A. hya","Adult",81
"3TSAL081P","c3",2282578.75557359,"3","Temae","5 m","A. hya","Adult",81
"3TSAL081P","c4",3076519.19229484,"3","Temae","5 m","A. hya","Adult",81
"3TSAL081P","c5",2481063.86475391,"3","Temae","5 m","A. hya","Adult",81
